asset,rated_power_mw,energy_capacity_mwh,load_id,generator_id,valid_from,valid_to,state,county,postcode,latitude,longitude,load_zone,voltage_kv,import_capacity_mw,export_capacity_mw,commissioning_date,tech_type,is_co_located,co_located_type,co_located_mw,zone,owner,qse_id,qse,dme_id,dme,settlement_point_name,integrator,developer,manufacturer
Jade 2 (SLF),82.3,164.0,JADE_SLR_LD2,JADE_SLR_BESS2,2025-09-29,2026-04-17,Texas,Scurry,,32.90652,-101.00786,west,345,,,2025-09-29,Battery,True,Solar,320.0,West,IPX Power,1126,IP LUMINA LLC,1108,IP LUMINA LLC,JADE_SLR_ALL,,Intersect Power,Tesla
Jade 1 (SLF),78.5,156.0,JADE_SLR_LD1,JADE_SLR_BESS1,2026-04-18,2049-12-31,Texas,Scurry,,32.90652,-101.00786,west,345,,,2025-09-29,Battery,True,Solar,320.0,West,IPX Power,1126,IP LUMINA LLC,1143,IPX Power,JADE_SLR_ALL,,Intersect Power,Tesla
Jade 1 (SLF),78.5,156.0,JADE_SLR_LD1,JADE_SLR_BESS1,2025-09-29,2026-04-17,Texas,Scurry,,32.90652,-101.00786,west,345,,,2025-09-29,Battery,True,Solar,320.0,West,IPX Power,1126,IP LUMINA LLC,1108,IP LUMINA LLC,JADE_SLR_ALL,,Intersect Power,Tesla
Inertia,13.0,49.4,INRT_W_LD1,INRT_W_BESS_1,2025-10-01,2050-01-01,Texas,Haskell,,33.177277,-99.56774,west,,,,2025-10-01,,True,Wind,301.3,West,NextEra Energy Resources,1134,NextEra Energy Marketing LLC,1106,NEXTERA ENERGY RESOURCES LLC (DME),INRT_W_ALL,,,
Inadale,9.9,9.9,INDL_LD1,INDL_ESS,2018-01-08,2050-01-31,,Nolan,,32.4969,-100.5797,west,,,,2018-01-08,Co-located battery (Wind),False,Wind,,West,RWE,22,RWE CLEAN ENERGY QSE LLC,18,RWE CLEAN ENERGY LLC,IND_INADALE1,,,
Hydra,200.8,200.8,HYDR_ESS_LD1,HYDR_ESS_BES1,2024-10-04,2050-01-01,Texas,Pecos,,30.992905,-102.2895,west,,,,2024-10-04,Battery,False,,,West,ENGIE,77,ENGIE ENERGY MARKETING NA INC,53,ENGIE,HYDR_ESS_RN,,ENGIE,
Hummingbird,103.8,227.0,HMNG_ESS_LD1,HMNG_ESS_BESS1,2025-10-01,2050-01-01,Texas,Denton,,33.3256,-97.31433,north,,,,2024-10-11,Battery,False,,,North,Key Capture Energy,1137,MERCURIA ENERGY AMERICA LLC,59,MERCURIA ENERGY AMERICA LLC,HMNG_ESS_RN,,,
Hummingbird,103.8,227.0,HMNG_ESS_LD1,HMNG_ESS_BESS1,2024-10-11,2025-09-30,Texas,Denton,,33.3256,-97.31433,north,,,,2024-10-11,Battery,False,,,North,Key Capture Energy,12,SHELL ENERGY NORTH AMERICA (US) LP,9,KEY CAPTURE ENERGY LLC,HMNG_ESS_RN,,,
House Mountain,60.0,134.6,HOUSEMTN_LD1,HOUSEMTN_BESS1,2026-01-07,2050-01-01,Texas,Brewster,,30.495668,-103.451,west,,,,2023-12-21,Battery,False,,,West,Jupiter Power,1110,JUPITER POWER ENERGY MANAGEMENT LLC,46,HOUSE MOUNTAIN LLC,HOUSEMTN_RN,,,
House Mountain,60.0,134.6,HOUSEMTN_LD1,HOUSEMTN_BESS1,2025-05-01,2026-01-06,Texas,Brewster,,30.495668,-103.451,west,,,,2023-12-21,Battery,False,,,West,Jupiter Power,1112,Jupiter Power Energy Management LLC,46,HOUSE MOUNTAIN LLC,HOUSEMTN_RN,,,
House Mountain,60.0,134.6,HOUSEMTN_LD1,HOUSEMTN_BESS1,2023-12-21,2025-04-30,Texas,Brewster,,30.495668,-103.451,west,,,,2023-12-21,Battery,False,,,West,Jupiter Power,14,TENASKA POWER SERVICES CO,46,HOUSE MOUNTAIN LLC,HOUSEMTN_RN,,,
Holy U2,104.7,102.2,HLY_LD2,HLY_BESS2,2024-12-30,2050-01-01,Texas,Harris,,29.87389002011175,-95.02113088593755,houston,,,,2024-12-30,Battery,False,,,Houston,UBS Asset Management,92,HABITAT ENERGY INC (QSE),64,HABITAT ENERGY INC (DME),HLY_RN,Canadian Solar,UBS Asset Management,Canadian Solar
Holy U1,104.7,102.2,HLY_LD1,HLY_BESS1,2024-12-30,2050-01-01,Texas,Harris,,29.87389002011175,-95.02113088593755,houston,138,,,2024-12-30,Battery,False,,,Houston,UBS Asset Management,92,HABITAT ENERGY INC (QSE),64,HABITAT ENERGY INC (DME),HLY_RN,Canadian Solar,UBS Asset Management,Canadian Solar
Holcomb (DGR),9.9,9.9,HOLCOMB_LD1,HOLCOMB_BESS,2023-01-26,2050-01-01,Texas,La Salle,,28.03534,-99.36173,south,,,,2023-01-26,Battery,False,,,South,Hunt Energy Network,49,HEN POWER MARKETING LLC (SQ1),13,HEN INFRASTRUCTURE LLC,HOLCOMB_RN1,,,
Hoefs Road (DGR),2.0,2.0,HRBESS_LD2,HRBESS_BESS,2024-05-17,2050-01-01,,Reeves,,31.031247,-103.4626,west,,,,2021-05-19,Battery,False,,,West,Form Energy,16,HEN POWER MARKETING LLC,47,YHOEFS,HRBESS_BESS,,,
Hoefs Road (DGR),2.0,2.0,HRBESS_LD2,HRBESS_BESS,2024-03-26,2024-05-16,,Reeves,,31.031247,-103.4626,west,,,,2021-05-19,Battery,False,,,West,Hunt Energy Network,16,HEN POWER MARKETING LLC,47,YHOEFS,HRBESS_BESS,,,
Hoefs Road (DGR),2.0,2.0,HRBESS_LD2,HRBESS_BESS,2022-12-02,2024-03-25,,Reeves,,31.031247,-103.4626,west,,,,2021-05-19,Battery,False,,,West,Hunt Energy Network,16,HEN POWER MARKETING LLC,13,HEN INFRASTRUCTURE LLC,HRBESS_BESS,,,
Hoefs Road (DGR),2.0,2.0,HRBESS_LD1,HRBESS_BESS,2021-05-19,2022-12-01,,Reeves,,31.031247,-103.4626,west,,,,2021-05-19,Battery,False,,,West,Hunt Energy Network,16,HEN POWER MARKETING LLC,13,HEN INFRASTRUCTURE LLC,HRBESS_BESS,,,
High Lonesome,50.0,75.0,HI_LONEB_LD1,HI_LONEB_BESS1,2023-06-27,2050-01-01,Texas,Crockett,,31.171652,-101.8811,west,,,,2023-06-27,Battery co-located (wind),True,wind,500.0,West,Enel North America,62,ENEL TRADING NORTH AMERICA LLC,15,ENEL TRADING NORTH AMERICA LLC,HI_LONEB_RN1,,,
Hidden Valley,9.9,14.3,,,2026-02-13,2050-01-01,Texas,Harris,,29.909626,-95.42364,,69,,,2026-02-13,,False,,,Coastal,REX Storage Holdings,1114,Tenaska,1136,REGIS HIDDEN VALLEY LLC,HV_BESS1_RN,Stem,Regis Energy Partners,
Heights (DGR),9.9,9.9,HEIGHTTN_LD1,HEIGHTTN_UNIT1,2024-05-01,2050-01-01,,Galveston,77590,29.389595,-94.94987,houston,,,,2020-12-10,Battery,False,,,Houston,ENGIE,77,ENGIE ENERGY MARKETING NA INC,53,ENGIE,BRHEIGHT_RN,,,
Heights (DGR),9.9,9.9,HEIGHTTN_LD1,HEIGHTTN_UNIT1,2023-10-09,2024-04-30,,Galveston,77590,29.389595,-94.94987,houston,,,,2020-12-10,Battery,False,,,Houston,ENGIE,54,BROAD REACH QSE I LLC (,39,BRP INTERMEDIATECO I LLC,BRHEIGHT_RN,,,
Heights (DGR),9.9,9.9,HEIGHTTN_LD1,HEIGHTTN_UNIT1,2023-09-01,2023-10-08,,Galveston,77590,29.389595,-94.94987,houston,,,,2020-12-10,Battery,False,,,Houston,ENGIE,54,BROAD REACH QSE I LLC (,4,BRP INTERMEDIATECO I LLC,BRHEIGHT_RN,,,
Heights (DGR),9.9,9.9,HEIGHTTN_LD1,HEIGHTTN_UNIT1,2023-04-26,2023-08-31,,Galveston,77590,29.389595,-94.94987,houston,,,,2020-12-10,Battery,False,,,Houston,Broad Reach Power LLC,54,BROAD REACH QSE I LLC (,4,BRP INTERMEDIATECO I LLC,BRHEIGHT_RN,,,
Heights (DGR),9.9,9.9,HEIGHTTN_LD1,HEIGHTTN_UNIT1,2022-10-19,2023-04-25,,Galveston,77590,29.389595,-94.94987,houston,,,,2020-12-10,Battery,False,,,Houston,Broad Reach Power LLC,7,BROAD REACH QSE,4,BRP INTERMEDIATECO I LLC,BRHEIGHT_RN,,,
Heights (DGR),9.9,9.9,BRHEIGHT_LD1,BRHEIGHT_UNIT1,2020-12-10,2022-10-18,,Galveston,77590,29.389595,-94.94987,houston,,,,2020-12-10,Battery,False,,,Houston,Broad Reach Power LLC,7,BROAD REACH QSE,4,BRP INTERMEDIATECO I LLC,BRHEIGHT_RN,,,
Hearn Road,9.9,9.9,HEARN_RD_LD2,HEARN_RD_BESS1,2025-08-08,2050-01-01,Texas,Nueces,78410,27.84932,-97.60964,south,,,,2025-08-08,Battery,False,,,South,REX Storage Holdings,1114,Tenaska,1104,REGIS HEARN LLC,HEARN_RD_RN,,,
Harlingen II,10.0,10.0,W_HARLIN_LD1,W_HARLIN_BESS,2023-12-14,2050-01-01,Texas,Cameron,,26.179999,-97.72561,south,,10.0,10.0,2023-12-14,Battery,False,,,South,SMT Energy,65,TENASKA POWER SERVICES CO,41,SMT TX MANAGEMENT LLC,W_HRL_ESR_RN,,,
Hamilton (DGR) U1,9.95,9.9,HAMILTON_LD1,HAMILTON_BESS,2024-02-22,2050-01-01,Texas,Val Verde,,29.376438,-100.8485,west,,9.95,9.95,2024-02-22,Battery,False,,,West,Hunt Energy Network,49,HEN POWER MARKETING LLC (SQ1),32,HEN INFRASTRUCTURE LLC 1,HAMI_BESS_RN,,,
Gregory,9.9,9.9,GREGORY_LD1,GREGORY_BESS1,2025-06-18,2050-01-01,Texas,San Patricio,,27.92405,-97.31242,south,,,,2024-11-07,Battery,False,,,Coastal,REX Storage Holdings,1114,Tenaska,66,REGIS GREGORY LLC,GREGORY_RN,Stem,Regis Energy Partners,
Gregory,9.9,9.9,GREGORY_LD1,GREGORY_BESS1,2024-11-07,2025-06-17,Texas,San Patricio,,27.92405,-97.31242,south,,,,2024-11-07,Battery,False,,,Coastal,REX Storage Holdings,88,TYR ENERGY LLC,66,REGIS GREGORY LLC,GREGORY_RN,Stem,Regis Energy Partners,
Great Kiskadee,103.0,200.0,GKS_BESS_LD1,GKS_BESS_BESS1,2025-02-14,2050-01-01,Texas,Hidalgo,,26.104286,-98.17188,south,138,,,2025-02-14,,False,,,South,SA Grid Solutions,56,Tenaska,78,GREAT KISKADEE STORAGE LLC,GKS_BESS_RN,Powin Energy,Apex Clean Energy,REPT Battero
Goodwin,9.9,14.3,GOODWIN_LD1,GOODWIN_BESS1,2025-12-02,2050-01-01,Texas,Hidalgo,,26.24515,-98.452238,,,,,2025-12-02,,False,,,South,REX Storage Holdings,1114,Tenaska,1117,REGIS GOODWIN LLC,GOODWIN_ESR,,,
Gomez (DGR),9.9,9.9,GOMZ_LD1,GOMZ_BESS,2023-05-26,2050-01-01,Texas,Pecos,,31.036537,-103.0242,west,,,,2023-05-26,Battery,False,,,West,Hunt Energy Network,49,HEN POWER MARKETING LLC (SQ1),32,HEN INFRASTRUCTURE LLC 1,GOMZ_RN,,,
Giga Texas,125.0,249.0,GIGA_ESS_LD1,GIGA_ESS_BESS_1,2024-08-09,2050-01-01,Texas,Travis,,30.230576,-97.61601,south,,131.0,131.0,2024-08-09,Battery,False,,,South,Tesla,78,ENGIE ENERGY MARKETING NA INC,54,GIGA TEXAS ENERGY STORAGE,GIGA_ESS_RN,,Tesla,Tesla
Gears 2,9.9,13.4,,,2026-03-24,2049-12-31,Texas,Harris,,29.962405,-95.44201,houston,138,9.9,9.9,2026-03-24,battery,False,,,Houston,Prologis,102,PROLOGIS ENERGY LLC,1137,PROLOGIS ENERGY,GZ_RN,,Prologis,
Gears,9.9,14.3,,,2026-02-10,2050-01-01,Texas,Harris,,29.962405,-95.44201,,69,,,2026-02-10,Battery,False,,,Coastal,REX Storage Holdings,1114,Tenaska,1132,REGIS GEARS-HARRIS LLC,GZ_RN,Stem,Regis Energy Partners,
Garden City East (DGR),9.9,9.9,GRDNE_LD3,GRDNE_BESS,2024-02-29,2050-01-01,Texas,Glasscock,,31.867209,-101.4694,west,,9.9,9.9,2024-02-29,Battery,False,,,West,Hunt Energy Network,49,HEN POWER MARKETING LLC (SQ1),32,HEN INFRASTRUCTURE LLC 1,GRDNE_ESR_RN,,,
Garceno (DGR),10.0,10.0,GARCENO_LD1,GARCENO_BESS,2023-11-30,2050-01-01,TX,Matagorda,,28.987572,-95.96984,houston,,,,2023-11-30,Battery,False,,,Coastal,SMT Energy,65,TENASKA POWER SERVICES CO,41,SMT TX MANAGEMENT LLC,GARC_BESS_RN,,,
Gambit,100.0,175.0,GAMBIT_LD1,GAMBIT_BESS1,2023-03-14,2050-01-01,,Brazoria,77515,29.16801,-95.44506,houston,,,,2021-06-14,Battery,False,,,Coastal,Plus Power,10,ENGIE ENERGY MARKETING NA INC,34,GAMBIT ENERGY STORAGE LLC,GAMBIT_RN,,Plus Power,
Gambit,100.0,175.0,GAMBIT_LD1,GAMBIT_BESS1,2022-06-01,2023-03-13,,Brazoria,77515,29.16801,-95.44506,houston,,,,2021-06-14,Battery,False,,,Coastal,Plus Power,10,ENGIE ENERGY MARKETING NA INC,7,TESLA,GAMBIT_RN,,Plus Power,
Gambit,100.0,175.0,GAMBIT_LD1,GAMBIT_BESS1,2021-06-14,2022-05-31,,Brazoria,77515,29.16801,-95.44506,houston,,,,2021-06-14,Battery,False,,,Coastal,Tesla,10,ENGIE ENERGY MARKETING NA INC,7,TESLA,GAMBIT_RN,,Plus Power,
Fort Mason,9.99,9.99,FORTMA_LD1,FORTMA_BESS1,2025-07-02,2050-01-01,Texas,Mason,,30.7423,-99.2374,south,,9.99,9.99,2025-06-30,,False,,,West,REX Storage Holdings,1114,Tenaska,1095,REGIS MASON LLC,FORTMA_RN,Fluence,,
Fort Mason,9.99,9.99,FORTMA_LD1,FORTMA_BESS1,2025-06-30,2025-07-01,Texas,Mason,,30.7423,-99.2374,south,,9.99,9.99,2025-06-30,,False,,,West,REX Storage Holdings,88,TYR ENERGY LLC,1095,REGIS MASON LLC,FORTMA_RN,Fluence,,
